service_id,pole,categorie,prestation,prix_start,prix_business,prix_enterprise,prix_mensuel,prix_trimestriel,prix_semestriel,prix_annuel,taux_haute_saison,duree_minutes,capacite_min,capacite_max,capacite_optimale,description,conditions_annulation,privatisation,zones_geographiques,langues_disponibles,options,index_ape
BRA-CON-000,Administration,Brand Content,Content Factory Express,86.63,165.4,299.2,64.66,1785.0,3360.0,6300.0,0.27,240,1,10,4,Production contenu express demi-journée,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Rush Delivery', description_option='Option Rush Delivery', prix_ht=Decimal('105.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Multi-format', description_option='Option Multi-format', prix_ht=Decimal('140.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Distribution', description_option='Option Distribution', prix_ht=Decimal('175.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
BRA-CON-001,Administration,Brand Content,Content Lab,435.15,496.0,992.0,488.0,5400.0,10200.0,19200.0,0.27,43200,1,10,4,Création contenus innovants multiformat,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Réalité augmentée', description_option='Option Réalité augmentée', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='3D', description_option='Option 3D', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Interactive', description_option='Option Interactive', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
BRA-CON-002,Administration,Brand Content,Content Sprint,753.99,2920.0,4351.51,463.58,12750.0,24000.0,45000.0,0.27,2400,1,10,4,Production intensive de contenu sur une semaine,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Rush', description_option='Option Rush', prix_ht=Decimal('750.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Multi-format', description_option='Option Multi-format', prix_ht=Decimal('1000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Distribution', description_option='Option Distribution', prix_ht=Decimal('1250.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
BRA-EDI-003,Administration,Brand Content,Editorial Planning,1635.76,5539.92,8539.92,1377.15,38250.0,72000.0,135000.0,0.27,43200,1,10,4,Planification et gestion du contenu mensuel,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Création contenus rich media', description_option='Option Création contenus rich media', prix_ht=Decimal('2250.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Community management', description_option='Option Community management', prix_ht=Decimal('3000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
BRA-STR-004,Administration,Brand Content,Stratégie Contenu Global,6880.0,10880.0,18351.51,3814.66,102000.0,192000.0,360000.0,0.27,129600,1,10,4,Développement de la stratégie de contenu multicanal,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Shooting photo/vidéo', description_option='Option Shooting photo/vidéo', prix_ht=Decimal('6000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Rédaction', description_option='Option Rédaction', prix_ht=Decimal('8000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Social media', description_option='Option Social media', prix_ht=Decimal('10000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
CON-DIG-005,Administration,Consulting Tech,Digital Transformation,1635.76,5715.29,6960.0,1371.47,38250.0,72000.0,135000.0,0.27,129600,1,10,4,Accompagnement complet dans la transformation digitale de l'entreprise,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Change management', description_option='Option Change management', prix_ht=Decimal('2250.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Formation équipes', description_option='Option Formation équipes', prix_ht=Decimal('3000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Support dédié', description_option='Option Support dédié', prix_ht=Decimal('3750.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
CON-ENT-006,Administration,Consulting Tech,Enterprise Tech Package,9539.92,15357.65,28960.0,6514.66,178500.0,336000.0,630000.0,0.27,259200,1,10,4,Package transformation digitale semestriel,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Change Management', description_option='Option Change Management', prix_ht=Decimal('10500.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Tech Integration', description_option='Option Tech Integration', prix_ht=Decimal('14000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='KPI Tracking', description_option='Option KPI Tracking', prix_ht=Decimal('17500.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
CON-INN-007,Administration,Consulting Tech,Innovation Workshop,466.28,888.0,1296.0,466.28,8100.0,15300.0,28800.0,0.27,480,1,10,4,Session de travail sur l'innovation et la transformation digitale,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Facilitation design thinking', description_option='Option Facilitation design thinking', prix_ht=Decimal('450.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Prototype', description_option='Option Prototype', prix_ht=Decimal('600.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Documentation', description_option='Option Documentation', prix_ht=Decimal('750.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
CON-TEC-008,Administration,Consulting Tech,Tech Support Express,39.2,63.52,105.4,20.54,510.0,960.0,1800.0,0.27,60,1,10,4,Support technique et consulting express,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Intervention urgente', description_option='Option Intervention urgente', prix_ht=Decimal('30.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Support distant', description_option='Option Support distant', prix_ht=Decimal('40.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Documentation', description_option='Option Documentation', prix_ht=Decimal('50.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
CON-WEB-009,Administration,Consulting Tech,Web3 Strategy,466.63,1153.99,2014.66,478.8,12150.0,22950.0,43200.0,0.27,86400,1,10,4,Conseil stratégique pour transition Web3 et blockchain,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='POC Development', description_option='Option POC Development', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Training', description_option='Option Training', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Implementation', description_option='Option Implementation', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
